product_name,manufacturer,root_category,category,product_rating,product_price,review_rating,review_title,review_text,reviewer_name
"31.5 in. 17.6 cu. ft. Counter Depth French Door Refrigerator, brushed steel",Frigidaire,Appliances,French Door Refrigerators,4.6,1999.0,4,bcl███nt,[This review was collected as part of a promotion.] This fridge fits our kitchen perfectly. We love the storage in the french doors and the handy drawers in the freezer. The only thing we don’t like is the lack of lighting in the freezer.,bcl███nt
"31.5 in. 17.6 cu. ft. Counter Depth French Door Refrigerator, brushed steel",Frigidaire,Appliances,French Door Refrigerators,4.6,1999.0,5,Great Fridge!,"[This review was collected as part of a promotion.] This fridge is perfect for tight spaces and does not appear small. We could not have gotten a fridge any larger in our current space without remodeling the kitchen. I like that I don't have to bend over to get to the crispers or anything else in the fridge section since the fridge is use most frequently. However, you do have to bend over to get ice. The ice maker makes perfect size cubes. We are very happy with the fridge!",Pap███ade███
"31.5 in. 17.6 cu. ft. Counter Depth French Door Refrigerator, brushed steel",Frigidaire,Appliances,French Door Refrigerators,4.6,1999.0,4,"Love it, so far","[This review was collected as part of a promotion.] Love this new Frigidaire so far, gave four stars because we’ve only had it a couple weeks and we’ll see how it holds up. Had a difficult time finding a fridge that fit the small space so went with this counter depth model, it is really a perfect size for us. This fridge is SO quiet, even when the compressor is running you can barely hear it and the temp has been very consistent. Love the unfussy look and the toned down brushed stainless finish it even hides fingerprints very well.",Ter███0
"31.5 in. 17.6 cu. ft. Counter Depth French Door Refrigerator, brushed steel",Frigidaire,Appliances,French Door Refrigerators,4.6,1999.0,5,So in love,"[This review was collected as part of a promotion.] This refrigerator is perfect for our small space kitchen.. it looks stunning and I can’t stop looking at it!! Every day I tell my husband how much I love it! The design is simple and well thought out.. the brim freezer is a game changer!!  Great amount of space inside and the shelves are so sturdy.. the light is a perfect soft white and everything stays nice and cold. The freezer accommodates what we need, but isn’t as spacious as the fridge.. but it doesn’t matter.. Everything is easier in our kitchen with this refrigerator… I am SO IN LOVE!!",Den███vir███
"31.5 in. 17.6 cu. ft. Counter Depth French Door Refrigerator, brushed steel",Frigidaire,Appliances,French Door Refrigerators,4.6,1999.0,5,"It's perfect, just what we wanted",[This review was collected as part of a promotion.] The refrigerator section is great! It holds more than our old side by side one. The double doors allow access to one or both sides and makes it easy & versatile.,Mom███and███
"31.5 in. 17.6 cu. ft. Counter Depth French Door Refrigerator, brushed steel",Frigidaire,Appliances,French Door Refrigerators,4.6,1999.0,4,Great Refrigerator for a Small Space,"[This review was collected as part of a promotion.] We replaced a noisy 20+ year old Kenmore refrigerator with this model, which was the only one we could find that would fit into the space allotted for it in our kitchen. Being that it is counter depth (which the old one was not) and stainless steel it looks so much better in that space and is so much quieter. I love the freezer on the bottom and the drawers in the freezer which allow me to organize the items much better. The only criticism I have is that the  bottom door shelf is too shallow to fit a gallon of milk and the upper ones could be a challenge for an older person or a short person to lift the weight of a full container into. We ended up arranging the inner shelves so that we could fit a gallon of milk on the bottom one. Overall though we are very happy with our purchase.",Wed███day███
"31.5 in. 17.6 cu. ft. Counter Depth French Door Refrigerator, brushed steel",Frigidaire,Appliances,French Door Refrigerators,4.6,1999.0,5,Great for my small space,[This review was collected as part of a promotion.] The Frigidaire  is a perfect solution for my condo space.,Con███al
"31.5 in. 17.6 cu. ft. Counter Depth French Door Refrigerator, brushed steel",Frigidaire,Appliances,French Door Refrigerators,4.6,1999.0,5,My new Frigidaire,[This review was collected as part of a promotion.] I just moved into this house and there was a hulking dirty old fridge here. Dirty is being kind. You can see it’s a very small space. This new one is smaller and fit perfectly! I love the three drawers in the freezer and all the room in the fridge. Love it!,Ozz███65
"31.5 in. 17.6 cu. ft. Counter Depth French Door Refrigerator, brushed steel",Frigidaire,Appliances,French Door Refrigerators,4.6,1999.0,5,Counter-Depth French Door Refrigerator,"[This review was collected as part of a promotion.] I absolutely love it! The refrigerator space in my kitchen is small and close to a door, but I didn’t want to sacrifice French doors. This refrigerator is compact enough to work in the space, while still providing plenty of room for food. Love the 3 drawer freezer and ice maker as well!",Ky2███
"31.5 in. 17.6 cu. ft. Counter Depth French Door Refrigerator, brushed steel",Frigidaire,Appliances,French Door Refrigerators,4.6,1999.0,5,Perfect Fit,"[This review was collected as part of a promotion.] Gorgeous, sleek design, looks incredible. Filled with draws and slots to hold everything we need, with room to spare. All this while maintaining a compact size, it’s a perfect fit!",avi███t
