manufacturer,avg_rating,review_count,pct_5_star,pct_negative,avg_price
GE,4.7,20,75.0,0.0,1998.0
Eclipse,4.63,270,77.41,4.07,132.36
Alpine Corporation,4.51,5855,75.46,8.15,151.58
Perfect Lift Window Treatment,4.47,607,73.31,7.58,81.24
Bali Cut-to-Size,4.45,20,65.0,5.0,23.37
Frigidaire,4.37,30,66.67,10.0,1298.67
Alpine,4.26,242,66.53,12.81,92.44
Chicology,4.1,398,62.06,15.08,133.77
BlindsAvenue,3.93,261,47.13,14.56,80.53
Home Decorators Collection,3.69,280,52.5,27.14,79.99
LG,3.68,40,50.0,25.0,1799.0
Home Basics,3.26,19,42.11,36.84,58.48
iFit,3.25,68,41.18,42.65,94.29
Unbranded,3.22,32,37.5,34.38,87.98
